127.0.0.1, 2015-06-07 18:45:27, GET, /, HTTP/1.1, 303, 0.000902
127.0.0.1, 2015-06-07 18:45:27, GET, /welcome/default/index, HTTP/1.1, 404, 0.000326
127.0.0.1, 2015-06-07 18:45:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000237
127.0.0.1, 2015-06-07 18:45:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000287
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss, HTTP/1.1, 200, 1.273275
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000458
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000303
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000426
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000934
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/js/jquery.js, HTTP/1.1, 200, 0.000469
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/css/calendar.css, HTTP/1.1, 200, 0.000443
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/js/calendar.js, HTTP/1.1, 200, 0.000484
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/js/web2py.js, HTTP/1.1, 200, 0.000444
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000442
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000472
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/js/share.js, HTTP/1.1, 200, 0.000411
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/images/background.jpg, HTTP/1.1, 200, 0.000293
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000286
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/images/twitter.png, HTTP/1.1, 200, 0.000307
127.0.0.1, 2015-06-07 18:45:34, GET, /lpfx_tiss/static/images/facebook.png, HTTP/1.1, 200, 0.000289
